Tip_Label,Broad Diet
Acinonyx_jubatus,Carnivore
Acratocnus_odontrigonus,Herbivore
Adapis_magnus,Herbivore
Adinotherium_ovinum,Herbivore
Aelurocyon_sp,Carnivore
Aepyceros_melampus,Herbivore
Aetiocetus_cotylalveus,Carnivore
Agriochoerus_sp,Herbivore
Ailuropoda_melanoleuca,Herbivore
Ailurus_fulgens,Herbivore
Aletomeryx_scotti,Herbivore
Allodesmus_gracilis,Carnivore
Alouatta_palliata,Herbivore
Amblysomus_hottentotus,Invertivore
Anchitherium_agalensis,Herbivore
Anomalurus_beecrofti,Herbivore
Anoplotherium_commune,Herbivore
Antilocapra_americana,Herbivore
Aotus_trivirgatus,Omnivore
Apternodus_brevirostris,Invertivore
Archaeolemur_edwardsi,Herbivore
Arctictis_binturong,Omnivore
Arctodus_simum,Carnivore
Arsinoitherium_zitteli,Herbivore
Aselliscus_tricuspidatus,Invertivore
Astrapotherium_magnum,Herbivore
Ateles_belzebuth,Herbivore
Atherurus_africanus,Herbivore
Balaenoptera_musculus,Invertivore
Barbourofelis_morrisi,Carnivore
Bauerus_dubiaquercus,Invertivore
Bos_taurus,Herbivore
Brachyphylla_cavernarum,Omnivore
Bradypus_tridactylus,Herbivore
Brontops_brachycephalus,Herbivore
Cacajao_calvus,Herbivore
Caenopus_copei,Herbivore
Cainotherium_laticurvatum,Herbivore
Callicebus_moloch,Herbivore
Callorhinus_ursinus,Carnivore
Callosciurus_caniceps,Herbivore
Camelus_dromedarius,Herbivore
Canis_lupus,Carnivore
Caperea_marginata,Invertivore
Capra_ibex,Herbivore
Capricornis_sumatraensis,Herbivore
Cardioderma_cor,Invertivore
Carterodon_sulcidens,Herbivore
Castor_canadensis,Herbivore
Castoroides_ohioensis,Herbivore
Cavia_aperea,Herbivore
Cebupithecia_sarmientai,Omnivore
Sapajus_apella,Omnivore
Centurio_senex,Herbivore
Cephalophus_nigrifrons,Herbivore
Cephalorhynchus_commersonii,Carnivore
Ceratogaulus_hatcheri,Herbivore
Cervus_elaphus,Herbivore
Cheirogaleus_medius,Herbivore
Chironax_melanocephalus,Herbivore
Choloepus_hoffmanni,Herbivore
Chrotopterus_auritus,Carnivore
Chrysospalax_trevelyani,Invertivore
Cistugo_lesueuri,Invertivore
Coelodonta_antiquitatus,Herbivore
Colobus_guereza,Herbivore
Coronodon_havensteini,Carnivore
Coryphodon_hamatus,Herbivore
Cotylocara_macei,Carnivore
Craseonycteris_thonglongyai,Invertivore
Cricetomys_gambianus,Herbivore
Cricetus_cricetus,Herbivore
Fukomys_mechowi,Herbivore
Ctenomys_knighti,Herbivore
Cuniculus_paca,Herbivore
Cyclopes_didactylus,Invertivore
Cynocephalus_volans,Herbivore
Cynomys_ludovicianus,Herbivore
Dacrytherium_sp,Herbivore
Daphoenus_vetus,Carnivore
Dasyprocta_mexicana,Herbivore
Dasypus_novemcinctus,Invertivore
Daubentonia_madagascariensis,Omnivore
Delphinapterus_leucas,Carnivore
Delphinus_delphis,Carnivore
Deomys_ferrugineus,Invertivore
Desmocyon_matthewsi,Carnivore
Diaemus_youngi,Sanguinivore
Diceros_bicornis,Herbivore
Dinictis_squalidens,Carnivore
Diplacodon_progressum,Herbivore
Dipodomys_ordii,Herbivore
Dobsonia_moluccensis,Herbivore
Dolichotis_patagonum,Herbivore
Dorudon_atrox,Carnivore
Duchesneodus_uintensis,Herbivore
Dugong_dugon,Herbivore
Dusisiren_jordani,Herbivore
Coendou_rufescens,Herbivore
Echinosorex_gymnura,Omnivore
Elasmotherium_sp,Herbivore
Elephas_maximus,Herbivore
Eleutherocercus_tucumanus,Omnivore
Elotherium_sp,Herbivore
Entoptychus_sp,Herbivore
Epimanteoceras_formusus,Herbivore
Eporeodon_meagherensis,Herbivore
Equus_caballus,Herbivore
Erethizon_dorsatum,Herbivore
Erinaceus_europaeus,Invertivore
Eschrichtius_robustus,Carnivore
Eubalaena_australis,Carnivore
Euhapsis_ellicottae,Herbivore
Eulemur_macaco,Herbivore
